ax_mean,ax_var,ay_mean,ay_var,az_mean,az_var,gx_mean,gx_var,gy_mean,gy_var,gz_mean,gz_var,mag_mean,mag_var,label
-0.003035063,0.000790506,0.005055259,0.000883391,0.000323938,0.000465971,2.841224698888855e-06,1.8822950430670061e-06,1.4276894875538085e-05,7.204116785723881e-05,2.5325330794246042e-05,9.950607592059557e-06,0.006841131,7.591490846080923e-06,HANDSTILL
-0.00288097,0.000911995,0.004745496,-0.001132881,1.024556782795779e-05,0.000770619,2.750904153580856e-06,1.707930653127139e-06,1.3453136777565228e-05,5.893696004875876e-05,2.1541155877472987e-05,1.030866230019389e-05,0.006541305,6.774757645922006e-06,HANDSTILL
-0.002651543,0.001065962,0.004531746,-0.000241792,0.00033748,0.000385581,3.1583036775200833e-06,1.5531581294435184e-06,1.4047707840188794e-05,7.543592013625369e-05,1.942024921725173e-05,1.3787682086949676e-05,0.00629597,7.82361497885675e-06,HANDSTILL
-0.002704262,0.001032801,0.004591796,0.001514931,8.229708852012836e-05,0.001151462,3.226708553597026e-06,2.386667845931258e-06,2.339431032282637e-05,0.000132101,2.3768104499602155e-05,1.358496149919338e-05,0.006911379,1.0704826780790086e-05,HANDSTILL
-0.002775609,0.000904608,0.004488029,0.001708552,0.002068482,0.001477729,4.188894384734939e-06,3.0135788311723663e-06,3.06924949266936e-05,0.000179673,7.106301988579775e-05,1.364887309587392e-05,0.0071469,1.548151405163271e-05,HANDSTILL
-0.002514437,0.001060228,0.0045129,-0.000925833,0.002221274,-0.000385623,3.721442062167653e-06,2.2114484450155875e-06,2.4654810479730693e-05,0.000154903,6.911844165017011e-05,1.4105343903226935e-05,0.006550465,1.5491847030227944e-05,HANDSTILL
-0.002333441,0.001139788,0.004611399,-0.001929542,-0.000353472,-0.000824622,3.7382210756477934e-06,1.5790038759500713e-06,1.7234567962383302e-05,8.550870173226749e-05,3.1448019069094856e-05,9.319636653209064e-06,0.006363087,1.0071981433370112e-05,HANDSTILL
-0.002322726,0.001037825,0.004423761,1.1345413513474297e-05,-0.001279878,8.970805327407912e-05,4.076840604041998e-06,2.4678393024184232e-06,2.369378275931812e-05,0.000102721,3.6946052647608e-05,1.0537137860077008e-05,0.006651728,1.2034774753905989e-05,HANDSTILL
-0.002272897,0.001046408,0.00422313,4.084885353221999e-05,-0.00255279,2.2125954274099074e-06,4.108228277648884e-06,3.268167449781824e-06,3.1882267772111576e-05,0.000151795,5.675203238628881e-05,2.081720187311427e-05,0.006914793,1.554016086893697e-05,HANDSTILL
-0.002192204,0.001101297,0.004510181,-0.00193981,-0.000528314,-0.000695153,4.301670551811425e-06,4.045980558707151e-06,3.062627742113041e-05,0.000146017,7.668067043396516e-05,2.171850725906394e-05,0.007071418,1.5329322199364796e-05,HANDSTILL
-0.002205847,0.001093838,0.004739985,-0.001935817,0.001214647,-0.000288406,3.6010406245497632e-06,3.7796489207635034e-06,2.2781094888868116e-05,0.000131107,6.717554176381727e-05,1.5709441983224367e-05,0.006836087,1.1959402913612285e-05,HANDSTILL
-0.001895031,0.001053576,0.004654875,-0.006993485,-0.004941691,0.00293541,4.846112583039647e-06,1.602689288053767e-05,0.000142442,0.001101186,0.000208976,7.847738759021741e-05,0.01101553,6.834207626441239e-05,HANDSTILL
-0.001605235,0.001193034,0.004594954,-0.005535685,-0.005337124,0.001236276,3.904561292930115e-06,4.6322623747292946e-05,0.000330046,0.001902542,0.000239544,0.000185582,0.017056066398403492,0.000114478,HANDSTILL
